实体,实体类型,出现次数
实体,概念,7
关系,概念,4
知识图谱,技术,4
人工智能,领域,3
关系抽取,信息抽取任务,3
实体识别,信息抽取任务,3
机器学习,子领域,3
优化算法,算法要素,2
信息抽取,技术,2
可视化,结果形式,2
推荐系统,应用场景,2
深度学习,子领域,2
神经网络,模型,2
自然语言处理,应用方向,2
节点,图结构,2
边,图结构,2
Transformer,模型,1
三元组,数据结构,1
停用词调整,调优方法,1
分类任务,任务,1
分词,预处理,1
卷积神经网络,模型,1
参数调优,实验过程,1
回归预测,任务,1
图像分类,任务,1
大语言模型,模型,1
学习策略,强化学习要素,1
属性,概念,1
强化学习,学习范式,1
循环神经网络,模型,1
损失函数,算法要素,1
文本分类,任务,1
文本预处理,预处理,1
无监督学习,学习范式,1
智能体,强化学习要素,1
智能决策,应用场景,1
智能问答,应用场景,1
未标注数据,数据,1
机器翻译,任务,1
标注数据,数据,1
梯度下降,优化算法,1
模型训练,过程,1
泛化能力,性能,1
注意力机制,模型机制,1
测试数据,数据,1
环境,强化学习要素,1
监督学习,学习范式,1
目标检测,任务,1
聚类任务,任务,1
自动摘要,任务,1
计算机视觉,应用方向,1
训练数据,数据,1
词典扩展,调优方法,1
语义关联,概念,1
语义分割,任务,1
语义检索,应用场景,1
过拟合,问题,1
