name,x,y,width,height,rotated
b0,372,270,36,16,0
b1,333,268,39,19,1
b2,93,170,35,41,1
b3,385,63,18,47,0
b4,0,399,32,26,1
b5,323,79,31,35,1
b6,80,198,13,29,1
b7,333,240,21,28,1
b8,93,243,32,15,0
b9,0,145,34,46,1
b10,131,154,45,32,0
b11,421,365,14,36,0
b12,33,308,42,36,1
b13,128,205,48,45,0
b14,53,154,25,15,1
b15,375,330,46,45,1
b16,426,190,18,22,0
b17,243,219,33,26,0
b18,299,0,19,34,1
b19,361,188,30,12,0
b20,300,212,28,33,0
b21,77,258,44,39,0
b22,294,266,39,26,1
b23,408,255,40,25,0
b24,243,245,15,25,1
b25,137,311,36,36,1
b26,80,109,25,43,1
b27,37,368,34,15,0
b28,243,103,38,46,1
b29,0,345,37,12,1
b30,357,46,27,17,1
b31,248,398,37,16,0
b32,225,46,23,32,0
b33,137,293,36,18,1
b34,243,173,38,19,1
b35,121,0,33,15,1
b36,381,375,12,28,1
b37,75,370,21,16,1
b38,88,0,33,26,0
b39,333,307,42,30,1
b40,215,244,28,41,0
b41,72,48,16,16,1
b42,176,222,19,44,0
b43,354,225,34,40,1
b44,265,192,16,27,1
b45,53,169,14,37,0
b46,73,0,15,48,1
b47,225,78,14,23,1
b48,176,168,24,26,0
b49,143,39,40,31,0
b50,215,319,33,42,0
b51,77,297,27,48,0
b52,248,35,27,37,0
b53,248,18,18,17,1
b54,323,115,43,16,0
b55,80,152,13,46,0
b56,243,192,22,25,0
b57,128,186,48,19,1
b58,34,154,19,41,0
b59,248,327,46,46,1
b60,74,79,35,30,1
b61,392,179,34,33,1
b62,285,401,37,45,0
b63,348,131,15,35,0
b64,384,16,48,47,1
b65,281,134,30,33,0
b66,104,297,31,31,1
b67,367,403,37,44,1
b68,322,419,35,24,0
b69,210,361,38,19,1
b70,281,71,36,14,0
b71,403,63,42,34,0
b72,266,0,33,34,1
b73,225,0,38,18,1
b74,212,226,29,18,0
b75,37,383,23,27,0
b76,345,0,12,14,1
b77,186,399,24,16,0
b78,324,393,43,26,1
b79,179,130,37,19,1
b80,367,381,14,15,0
b81,210,380,20,32,1
b82,93,211,33,32,1
b83,179,149,37,19,1
b84,37,117,43,37,0
b85,0,97,37,48,1
b86,276,219,24,24,1
b87,305,167,19,45,1
b88,34,222,43,28,1
b89,20,310,12,35,0
b90,216,130,24,45,1
b91,179,102,44,28,0
b92,281,85,42,24,0
b93,286,245,43,21,0
b94,72,64,16,15,1
b95,318,32,36,25,0
b96,104,358,25,45,0
b97,150,250,25,28,0
b98,105,154,26,16,1
b99,37,97,37,20,0
b100,366,161,25,27,1
b101,25,0,48,40,1
b102,354,200,38,25,1
b103,107,403,32,32,1
b104,240,78,36,25,0
b105,0,357,31,42,1
b106,175,280,39,34,1
b107,34,206,45,16,0
b108,104,346,33,12,0
b109,152,136,22,12,1
b110,155,415,44,23,0
b111,281,186,18,13,0
b112,366,115,18,46,0
b113,421,280,28,43,1
b114,388,231,19,39,1
b115,248,414,37,30,0
b116,173,357,37,42,0
b117,37,344,37,24,1
b118,294,332,35,39,1
b119,407,231,36,24,1
b120,128,278,45,15,1
b121,401,110,45,32,1
b122,109,124,43,30,0
b123,190,89,35,13,1
b124,285,373,39,13,1
b125,225,18,18,28,0
b126,258,245,28,38,1
b127,88,26,24,22,0
b128,248,373,36,25,0
b129,329,337,46,44,1
b130,248,283,45,44,1
b131,154,82,36,20,0
b132,384,0,38,16,0
b133,198,256,14,12,0
b134,112,26,29,16,0
b135,285,386,37,15,1
b136,281,167,24,19,0
b137,104,328,22,18,0
b138,216,175,22,30,1
b139,354,82,31,33,1
b140,183,0,12,16,0
b141,154,102,25,34,0
b142,357,0,27,46,0
b143,375,286,46,44,0
b144,75,345,29,25,1
b145,0,191,34,45,1
b146,215,285,33,34,0
b147,77,227,12,31,0
b148,331,131,17,25,0
b149,128,250,22,22,1
b150,183,43,13,30,0
b151,385,110,16,27,0
b152,0,277,33,33,1
b153,143,70,40,12,0
b154,129,358,44,42,1
b155,318,131,13,12,1
b156,200,207,42,19,1
b157,404,375,12,42,1
b158,223,102,17,28,1
b159,243,149,36,24,1
b160,276,59,36,12,1
b161,392,212,31,19,1
b162,198,226,12,30,1
b163,60,403,47,46,1
b164,318,0,27,32,1
b165,0,236,33,41,1
b166,329,381,36,12,0
b167,139,400,47,14,0
b168,281,109,37,25,0
b169,196,43,28,46,1
b170,25,75,45,22,1
b171,109,48,34,35,1
b172,0,0,25,31,1
b173,421,323,22,42,1
b174,333,287,25,20,0
b175,176,268,34,12,0
b176,139,414,16,20,1
b177,88,48,21,31,0
b178,281,199,16,20,1
b179,109,83,45,41,0
b180,357,63,21,19,1
b181,183,28,42,15,1
b182,183,16,33,12,0
b183,34,292,37,16,0
b184,311,143,20,19,0
b185,403,97,44,13,1
b186,433,142,13,48,0
b187,143,15,22,24,0
b188,328,200,24,40,0
b189,0,310,20,31,1
b190,324,166,37,34,0
b191,391,142,42,37,0
b192,176,194,22,28,0
b193,173,314,42,43,0
b194,34,250,43,42,1
b195,275,34,36,25,1
b196,200,168,16,39,1
b197,25,40,47,35,0
b198,317,57,40,22,1
b199,294,292,34,40,0
