name,x,y,width,height,rotated
b0,313,543,27,15,0
b1,383,0,16,27,1
b2,286,380,22,26,0
b3,63,248,21,45,0
b4,238,450,45,40,1
b5,469,425,16,26,0
b6,466,99,38,27,0
b7,466,70,35,29,0
b8,537,291,21,36,0
b9,171,307,44,25,0
b10,375,437,15,31,0
b11,474,464,24,41,1
b12,73,193,17,19,0
b13,390,509,33,48,0
b14,142,288,21,44,1
b15,90,148,15,34,1
b16,443,367,45,42,0
b17,342,0,41,37,0
b18,90,105,44,43,1
b19,401,177,23,36,1
b20,253,264,13,17,0
b21,111,12,28,44,0
b22,102,486,29,35,1
b23,543,134,17,40,1
b24,43,518,18,24,0
b25,512,105,43,29,1
b26,40,206,18,27,1
b27,50,155,40,38,1
b28,216,518,24,12,0
b29,488,434,29,30,0
b30,92,352,20,28,0
b31,313,511,36,32,1
b32,236,345,22,19,1
b33,476,0,46,45,1
b34,356,317,29,12,0
b35,544,464,12,26,0
b36,262,505,27,30,0
b37,440,293,29,12,1
b38,516,291,21,19,0
b39,493,139,12,13,0
b40,354,170,47,19,1
b41,446,348,36,19,0
b42,512,266,46,25,0
b43,215,62,39,21,0
b44,399,0,24,27,1
b45,275,96,24,25,0
b46,272,219,19,13,0
b47,15,387,42,40,0
b48,172,198,34,28,1
b49,206,157,24,48,0
b50,507,401,19,14,0
b51,340,216,16,14,1
b52,163,332,37,18,0
b53,34,347,12,36,1
b54,283,450,30,34,0
b55,230,530,31,26,1
b56,436,514,31,46,1
b57,0,299,47,48,0
b58,261,535,25,25,0
b59,215,83,38,47,1
b60,272,232,39,16,0
b61,309,178,31,45,0
b62,175,0,46,36,0
b63,110,521,46,36,1
b64,440,211,33,15,0
b65,50,193,23,13,1
b66,230,181,42,45,0
b67,423,0,33,14,1
b68,221,34,45,28,1
b69,58,212,27,36,1
b70,297,0,45,16,1
b71,358,482,32,34,1
b72,378,249,32,15,0
b73,184,548,46,12,1
b74,142,409,34,43,1
b75,311,223,20,37,0
b76,62,483,39,36,0
b77,451,425,18,40,1
b78,130,148,42,16,0
b79,466,45,40,25,0
b80,545,425,15,36,1
b81,277,145,32,15,1
b82,277,121,39,24,0
b83,238,409,37,41,0
