case,seed,L,initial_hpwl,global_hpwl,final_hpwl,final_width,final_height,global_improvement,polish_improvement,total_improvement,overlap_count,out_count
n100,2026,454.3414464915126,292262.5,246876.0,236869.5,453,454,0.15529361447329026,0.04053249404559374,0.18953167101492666,0,0
n100,2027,454.3414464915126,292262.5,245211.5,234904.0,454,452,0.16098883708994483,0.04203514109248547,0.1962567897010393,0,0
n100,2028,454.3414464915126,292262.5,255609.5,241734.0,453,452,0.1254112313416877,0.054283976143296706,0.17288738719473076,0,0
n100,42,454.3414464915126,292262.5,243383.5,225563.0,453,453,0.16724348830246782,0.07321983618445786,0.2282177836705017,0,0
n100,1107,454.3414464915126,292262.5,244608.0,232379.5,453,454,0.1630537616013002,0.04999223246991104,0.2048945725161456,0,0
n200,2026,449.5001668520269,574918.5,494524.0,462801.5,449,449,0.13983634202065162,0.06414754390080157,0.19501372803275593,0,0
n200,2027,449.5001668520269,574918.5,475579.0,438953.5,449,449,0.17278883876584247,0.07701244167635661,0.23649439007441925,0,0
n200,2028,449.5001668520269,574918.5,491045.0,449212.5,449,447,0.1458876345081955,0.08519076663034957,0.21865012171290366,0,0
n200,42,449.5001668520269,574918.5,488486.5,464645.5,449,449,0.15033783049249588,0.04880585236234778,0.19180631689535124,0,0
n200,1107,449.5001668520269,574918.5,478266.5,451107.5,449,449,0.16811426315208156,0.056786331470006786,0.2153540023498983,0,0
n300,2026,560.4868419508169,864135.0,717104.0,662347.5,559,560,0.17014818286494587,0.0763578225752471,0.23351386068149074,0,0
n300,2027,560.4868419508169,864135.0,714586.0,668182.0,560,559,0.17306207942046092,0.06493829993870577,0.22676202213774468,0,0
n300,2028,560.4868419508169,864135.0,722714.0,655181.5,559,560,0.16365614169082376,0.09344291102704527,0.2418065464308239,0,0
n300,42,560.4868419508169,864135.0,716064.5,666312.0,559,559,0.1713511199060332,0.06948047277863935,0.22892603586245205,0,0
n300,1107,560.4868419508169,864135.0,706854.0,646534.0,560,559,0.18200975542016004,0.08533586851032887,0.251813663374357,0,0
