name,x,y,width,height,rotated
b0,215,290,15,27,1
b1,363,420,27,16,0
b2,34,240,22,26,0
b3,12,165,21,45,0
b4,18,464,40,45,0
b5,530,516,16,26,0
b6,475,94,27,38,1
b7,142,37,35,29,0
b8,101,378,36,21,1
b9,468,357,25,44,1
b10,219,462,31,15,1
b11,505,125,41,24,0
b12,446,235,19,17,1
b13,118,252,48,33,1
b14,12,255,21,44,1
b15,418,422,34,15,0
b16,86,117,42,45,1
b17,230,322,41,37,0
b18,174,232,43,44,0
b19,306,163,36,23,0
b20,310,289,17,13,1
b21,390,430,28,44,0
b22,271,339,35,29,0
b23,532,0,17,40,1
b24,465,401,24,18,1
b25,505,149,43,29,1
b26,345,502,18,27,1
b27,223,46,40,38,1
b28,93,270,24,12,0
b29,399,226,29,30,0
b30,482,66,20,28,0
b31,277,444,32,36,0
b32,370,361,22,19,1
b33,306,57,45,46,0
b34,401,401,12,29,1
b35,174,375,26,12,1
b36,458,0,30,27,1
b37,207,462,12,29,0
b38,219,477,19,21,1
b39,530,476,13,12,1
b40,298,489,47,19,1
b41,58,204,19,36,1
b42,128,103,46,25,0
b43,86,60,39,21,0
b44,443,349,24,27,1
b45,390,474,24,25,0
b46,148,141,19,13,0
b47,92,336,40,42,1
b48,179,440,28,34,0
b49,332,206,24,48,0
b50,533,353,14,19,1
b51,316,241,16,14,1
b52,458,48,37,18,0
b53,0,373,12,36,1
b54,207,428,30,34,0
b55,513,236,31,26,1
b56,173,474,31,46,1
b57,0,417,48,47,1
b58,443,376,25,25,0
b59,130,154,38,47,1
b60,219,393,39,16,0
b61,501,0,31,45,0
b62,502,89,46,36,0
b63,306,127,46,36,1
b64,497,403,15,33,1
b65,334,339,23,13,1
b66,428,193,45,42,1
b67,310,462,33,14,1
b68,170,204,45,28,1
b69,44,90,36,27,0
b70,128,87,45,16,1
b71,64,501,34,32,0
b72,174,387,32,15,0
b73,345,531,46,12,1
b74,513,262,34,43,1
b75,142,440,37,20,1
b76,298,508,39,36,0
b77,0,464,18,40,1
b78,48,416,16,42,1
b79,0,509,40,25,0
b80,423,30,15,36,1
b81,527,321,15,32,0
b82,47,156,39,24,0
b83,64,378,37,41,0
b84,104,447,38,34,1
b85,0,299,34,43,0
b86,262,160,44,39,1
b87,217,229,45,48,0
b88,399,126,29,44,0
b89,371,304,20,42,0
b90,310,333,24,46,1
b91,42,353,21,43,1
b92,178,0,45,47,0
b93,332,186,24,20,1
b94,473,157,31,19,0
b95,169,128,44,37,0
b96,310,416,33,46,1
b97,64,533,40,15,0
b98,34,165,13,35,0
b99,198,276,17,40,1
b100,428,149,45,44,1
b101,170,404,30,36,0
b102,86,81,40,36,0
b103,263,410,34,34,1
b104,485,535,42,14,0
b105,468,324,35,33,0
b106,0,88,12,33,0
b107,12,125,32,15,0
b108,64,463,37,38,0
b109,263,81,42,46,0
b110,474,221,39,42,0
b111,370,346,21,13,1
b112,193,165,25,30,1
b113,34,204,24,36,1
b114,219,359,44,34,1
b115,56,247,34,22,0
b116,44,71,28,19,0
b117,218,183,39,21,0
b118,64,419,38,44,1
b119,356,276,45,28,1
b120,391,309,36,36,0
b121,318,255,38,34,1
b122,77,204,20,43,1
b123,354,101,36,23,1
b124,142,460,31,35,0
b125,263,368,46,42,0
b126,146,201,22,12,0
b127,223,0,25,43,0
b128,327,289,28,44,1
b129,86,38,34,22,0
b130,409,0,26,30,1
b131,230,277,48,45,0
b132,132,301,39,18,1
b133,497,436,15,43,0
b134,352,145,47,34,1
b135,93,285,45,15,0
b136,207,359,12,37,1
b137,512,403,21,28,0
b138,64,336,28,42,1
b139,452,443,37,36,1
b140,536,40,12,43,0
b141,428,130,45,19,1
b142,448,520,37,27,1
b143,46,132,25,24,1
b144,46,117,40,15,1
b145,512,431,13,45,0
b146,104,399,33,48,1
b147,38,41,42,30,1
b148,42,396,18,20,0
b149,177,99,47,22,0
b150,370,380,31,23,1
b151,290,223,42,18,1
b152,258,444,19,16,1
b153,54,269,30,41,1
b154,443,401,22,17,0
b155,414,512,25,14,0
b156,138,285,28,16,0
b157,168,184,25,20,1
b158,493,297,13,23,1
b159,278,295,32,44,1
b160,58,17,27,16,0
b161,99,205,47,46,1
b162,36,266,18,31,1
b163,328,0,33,22,0
b164,226,97,36,41,0
b165,237,428,21,17,0
b166,414,476,34,36,0
b167,142,0,36,37,0
b168,394,30,24,41,0
b169,146,213,24,39,0
b170,306,28,45,29,1
b171,40,509,22,40,0
b172,488,0,13,27,1
b173,473,132,32,25,1
