name,x,y,width,height,rotated
b0,137,306,36,16,0
b1,322,115,19,39,0
b2,33,174,41,35,0
b3,102,373,18,47,0
b4,141,280,32,26,1
b5,110,61,35,31,0
b6,73,373,29,13,0
b7,0,381,28,21,0
b8,145,51,32,15,0
b9,373,238,46,34,0
b10,132,146,45,32,0
b11,104,282,14,36,0
b12,124,394,36,42,0
b13,120,346,45,48,1
b14,244,247,25,15,1
b15,370,388,46,45,1
b16,277,354,18,22,0
b17,308,154,33,26,0
b18,74,203,34,19,0
b19,173,324,30,12,0
b20,155,113,28,33,0
b21,37,135,44,39,0
b22,295,237,39,26,1
b23,145,66,40,25,0
b24,306,180,15,25,1
b25,37,339,36,36,0
b26,116,0,25,43,1
b27,195,78,34,15,0
b28,244,124,38,46,1
b29,269,223,37,12,1
b30,145,34,27,17,1
b31,0,402,37,16,0
b32,244,170,23,32,0
b33,132,203,36,18,1
b34,284,98,38,19,1
b35,284,55,33,15,1
b36,433,247,12,28,1
b37,394,89,16,21,0
b38,0,418,33,26,0
b39,395,110,30,42,0
b40,295,295,28,41,0
b41,277,376,16,16,1
b42,317,47,44,19,1
b43,244,90,40,34,0
b44,105,145,27,16,0
b45,331,370,37,14,1
b46,433,323,15,48,1
b47,361,123,14,23,1
b48,219,140,24,26,0
b49,370,357,40,31,0
b50,216,282,33,42,0
b51,77,288,27,48,0
b52,177,236,37,27,1
b53,225,166,18,17,1
b54,373,222,43,16,0
b55,124,436,46,13,1
b56,302,25,25,22,1
b57,126,261,48,19,1
b58,416,378,19,41,0
b59,249,308,46,46,0
b60,406,56,35,30,1
b61,327,66,34,33,1
b62,327,263,45,37,1
b63,293,410,35,15,1
b64,25,0,47,48,0
b65,361,58,33,30,1
b66,37,375,31,31,0
b67,173,378,37,44,1
b68,395,152,35,24,0
b69,210,382,38,19,1
b70,333,422,36,14,0
b71,183,183,42,34,0
b72,284,117,33,34,1
b73,37,117,38,18,1
b74,37,406,29,18,0
b75,34,253,27,23,1
b76,215,105,14,12,0
b77,364,107,24,16,0
b78,248,420,43,26,1
b79,177,217,37,19,1
b80,265,55,15,14,1
b81,94,183,32,20,0
b82,295,377,32,33,0
b83,367,338,37,19,1
b84,77,336,43,37,0
b85,0,117,37,48,1
b86,284,151,24,24,0
b87,414,286,19,45,1
b88,284,70,43,28,1
b89,353,194,12,35,0
b90,244,202,24,45,1
b91,361,30,44,28,0
b92,353,154,42,24,0
b93,34,276,43,21,0
b94,126,280,15,16,0
b95,183,158,36,25,0
b96,0,0,25,45,0
b97,132,178,28,25,1
b98,173,422,26,16,1
b99,267,175,37,20,0
b100,419,176,27,25,0
b101,126,221,48,40,1
b102,221,15,38,25,1
b103,295,263,32,32,1
b104,33,209,36,25,0
b105,0,297,31,42,1
b106,334,229,39,34,1
b107,174,15,45,16,0
b108,195,93,33,12,0
b109,61,253,12,22,0
b110,25,94,44,23,0
b111,33,234,13,18,1
b112,430,123,18,46,0
b113,216,354,43,28,0
b114,334,180,19,39,1
b115,265,25,37,30,0
b116,173,287,42,37,1
b117,425,86,24,37,0
b118,75,80,35,39,1
b119,174,263,36,24,1
b120,218,0,45,15,1
b121,183,113,32,45,0
b122,359,0,43,30,0
b123,81,159,13,35,0
b124,331,409,39,13,1
b125,259,354,18,28,0
b126,216,244,28,38,1
b127,416,419,24,22,0
b128,229,40,36,25,0
b129,373,178,46,44,1
b130,323,300,44,45,0
b131,295,357,36,20,0
b132,174,31,38,16,0
b133,406,272,12,14,1
b134,269,235,16,29,1
b135,107,46,37,15,1
b136,104,258,19,24,1
b137,108,203,18,22,1
b138,405,34,30,22,0
b139,373,272,33,31,0
b140,321,180,12,16,0
b141,331,345,34,25,1
b142,419,201,27,46,0
b143,72,0,44,46,1
b144,302,0,29,25,1
b145,0,252,34,45,1
b146,141,0,33,34,0
b147,394,58,12,31,0
b148,219,123,25,17,1
b149,214,222,22,22,1
b150,77,258,13,30,0
b151,268,195,16,27,0
b152,77,225,33,33,1
b153,291,425,40,12,0
b154,249,264,42,44,0
b155,90,258,13,12,1
b156,185,59,42,19,1
b157,291,437,42,12,0
b158,268,392,17,28,1
b159,137,322,36,24,1
b160,185,47,36,12,1
b161,375,123,19,31,0
b162,369,433,30,12,0
b163,25,48,47,46,1
b164,306,205,27,32,1
b165,0,165,33,41,1
b166,295,345,36,12,0
b167,414,331,14,47,1
b168,265,0,37,25,0
b169,331,0,28,46,1
b170,79,426,45,22,1
b171,72,46,35,34,0
b172,210,401,25,31,1
b173,37,426,42,22,0
b174,248,382,20,25,1
b175,110,133,34,12,0
b176,353,178,20,16,0
b177,249,69,31,21,1
b178,229,65,20,16,0
b179,110,92,45,41,0
b180,46,234,21,19,1
b181,229,81,15,42,0
b182,104,318,33,12,0
b183,327,99,37,16,0
b184,364,88,20,19,0
b185,174,0,44,13,1
b186,433,275,13,48,0
b187,105,161,24,22,1
b188,81,119,24,40,0
b189,341,115,20,31,1
b190,405,0,37,34,0
b191,0,339,37,42,1
b192,284,195,22,28,0
b193,173,336,43,42,1
b194,34,297,43,42,1
b195,331,384,36,25,1
b196,225,183,16,39,1
b197,367,303,47,35,0
b198,155,91,40,22,1
b199,68,386,34,40,0
