name,x,y,width,height,rotated
b0,208,390,33,43,1
b1,135,252,65,37,0
b2,291,348,53,34,0
b3,96,115,37,67,0
b4,254,335,29,19,0
b5,241,286,39,49,0
b6,90,237,40,18,0
b7,20,388,40,22,1
b8,358,87,50,62,0
b9,33,117,16,41,0
b10,50,334,52,18,1
b11,258,65,39,59,0
b12,198,21,61,28,0
b13,39,158,57,48,1
b14,134,0,63,43,0
b15,289,183,59,52,0
b16,135,374,36,57,0
b17,344,282,44,66,0
b18,241,178,48,51,0
b19,46,73,50,31,1
b20,94,393,37,19,0
b21,344,348,50,64,1
b22,386,211,49,34,0
b23,0,377,20,49,0
b24,388,310,45,28,0
b25,202,177,39,54,1
b26,353,0,55,40,0
b27,408,0,25,65,0
b28,89,289,46,39,1
b29,57,22,62,24,1
b30,76,352,26,24,1
b31,60,381,34,26,1
b32,202,134,53,43,1
b33,67,412,35,22,1
b34,23,334,27,54,0
b35,255,140,31,38,0
b36,23,206,67,39,1
b37,135,330,60,20,1
b38,135,289,57,23,1
b39,289,235,55,52,1
b40,50,352,26,29,0
b41,106,182,27,55,0
b42,348,149,53,62,1
b43,0,56,46,61,1
b44,135,112,65,47,0
b45,0,202,23,44,0
b46,202,231,39,22,0
b47,102,328,33,65,1
b48,57,46,57,27,0
b49,388,245,47,65,0
b50,135,220,67,32,0
b51,172,352,57,38,1
b52,49,104,45,54,1
b53,197,0,43,21,0
b54,135,312,61,18,1
b55,401,149,34,56,0
b56,135,95,63,17,1
b57,20,410,47,18,1
b58,89,255,46,34,0
b59,303,382,37,50,1
b60,200,313,40,23,0
b61,229,352,23,33,1
b62,198,49,60,19,0
b63,172,390,36,45,0
b64,358,40,50,47,0
b65,0,0,57,56,0
b66,297,41,61,67,1
b67,344,238,40,44,1
b68,134,43,63,52,1
b69,408,65,27,54,1
b70,297,108,42,42,0
b71,0,313,22,64,1
b72,283,287,61,61,0
b73,135,159,67,61,1
b74,96,73,38,42,0
b75,339,108,19,28,0
b76,102,412,33,22,1
b77,200,68,57,66,1
b78,395,388,32,36,1
b79,200,253,41,60,1
b80,196,336,58,16,1
b81,394,338,40,50,0
b82,241,229,47,57,0
b83,90,206,16,22,1
b84,57,0,67,22,0
b85,408,119,20,25,0
b86,254,354,37,56,1
b87,0,158,39,44,0
b88,135,350,37,24,0
b89,348,211,38,27,0
b90,0,117,33,39,1
b91,289,150,56,33,0
b92,257,124,26,16,0
b93,259,0,35,65,1
b94,294,0,59,41,1
b95,344,412,51,19,0
b96,23,294,66,40,1
b97,0,246,17,67,0
b98,241,410,62,22,1
b99,23,245,66,49,1
